,image_name,fine_target,coarse_target
0,bos_taurus_s_000507.png,19,11
1,stegosaurus_s_000125.png,29,15
2,mcintosh_s_000643.png,0,4
3,altar_boy_s_001435.png,11,14
4,cichlid_s_000031.png,1,1
5,phone_s_002161.png,86,5
6,car_train_s_000043.png,90,18
7,beaker_s_000604.png,28,3
8,fog_s_000397.png,23,10
9,rogue_elephant_s_000421.png,31,11
10,computer_keyboard_s_000757.png,39,5
11,willow_tree_s_000645.png,96,17
12,sunflower_s_000549.png,82,2
13,palace_s_000759.png,17,9
14,adriatic_s_001782.png,71,10
15,computer_keyboard_s_001277.png,39,5
16,bike_s_000682.png,8,18
17,wolf_pup_s_001323.png,97,8
18,squirrel_s_002467.png,80,16
19,sea_s_000678.png,71,10
20,shrew_s_002233.png,74,16
21,pine_tree_s_000087.png,59,17
22,rose_s_000373.png,70,2
23,surveillance_system_s_000769.png,87,5
24,pine_s_001533.png,59,17
25,table_s_000897.png,84,6
26,opossum_s_001237.png,64,12
27,quercus_alba_s_000257.png,52,17
28,leopard_s_000414.png,42,8
29,possum_s_002195.png,64,12
30,bike_s_000127.png,8,18
31,balmoral_castle_s_000361.png,17,9
32,acer_saccharinum_s_000646.png,47,17
33,lapin_s_000916.png,65,16
34,chimp_s_001419.png,21,11
35,clock_s_002291.png,22,5
36,streetcar_s_000663.png,81,19
37,male_child_s_000800.png,11,14
38,oriental_cockroach_s_000650.png,24,7
39,breakfast_table_s_001135.png,84,6
40,coluber_constrictor_s_000067.png,78,15
41,lobster_s_000034.png,45,13
42,mount_s_002852.png,49,10
43,wolf_pup_s_001277.png,97,8
44,areca_s_000244.png,56,17
45,skyscraper_s_000180.png,76,9
46,boy_s_001150.png,11,14
47,train_s_001640.png,90,18
48,tractor_s_001723.png,89,19
49,snake_s_000046.png,78,15
50,shortfin_mako_s_000172.png,73,1
51,butterfly_s_001371.png,14,7
52,television_s_000158.png,87,5
53,beer_bottle_s_001063.png,9,3
54,adriatic_s_002075.png,71,10
55,honeybee_s_001911.png,6,7
56,red_maple_s_000275.png,47,17
57,reclining_chair_s_001157.png,20,6
58,black_woman_s_001310.png,98,14
59,silver_maple_s_001664.png,47,17
60,syrian_hamster_s_000340.png,36,16
61,otter_s_000259.png,55,0
62,seal_s_001773.png,72,0
63,panthera_leo_s_000068.png,43,8
64,morchella_esculenta_s_000159.png,51,4
65,female_child_s_000292.png,35,14
66,bell_pepper_s_001100.png,83,4
67,forest_s_001702.png,33,10
68,crocodile_s_002505.png,27,15
69,valencia_orange_s_000087.png,53,4
70,tulip_s_000253.png,92,2
71,mus_musculus_s_000005.png,50,16
72,arabian_camel_s_000259.png,15,11
73,tractor_s_000104.png,89,19
74,hamster_s_001554.png,36,16
75,caterpillar_s_001005.png,18,7
76,bulldozer_s_000433.png,89,19
77,man_s_000841.png,46,14
78,woods_s_000031.png,33,10
79,leopard_s_000033.png,42,8
80,keyboard_s_000092.png,39,5
81,possum_s_000413.png,64,12
82,skunk_s_000825.png,75,12
83,kangaroo_s_002457.png,38,11
84,cirrocumulus_s_001397.png,23,10
85,panthera_pardus_s_000593.png,42,8
86,raccoon_s_002740.png,66,12
87,garden_snail_s_000513.png,77,13
88,mount_s_000051.png,49,10
89,caterpillar_s_000450.png,18,7
90,man_s_000737.png,46,14
91,camel_s_000876.png,15,11
92,girl_s_001964.png,35,14
93,minuteman_s_000073.png,69,19
94,fin_whale_s_000110.png,95,0
95,sweet_pepper_s_000921.png,83,4
96,manual-skunk007.png,75,12
97,nematode_s_000034.png,99,13
98,shark_s_002026.png,73,1
99,marine_turtle_s_000339.png,93,15
100,river_otter_s_000028.png,55,0
101,computer_keyboard_s_000598.png,39,5
