,image_name,fine_target,coarse_target,fine_fold,coarse_fold
0,bos_taurus_s_000507.png,19,11,10,1
1,stegosaurus_s_000125.png,29,15,3,6
2,mcintosh_s_000643.png,0,4,8,10
3,altar_boy_s_001435.png,11,14,3,3
4,cichlid_s_000031.png,1,1,10,4
5,phone_s_002161.png,86,5,3,7
6,car_train_s_000043.png,90,18,7,9
7,beaker_s_000604.png,28,3,1,5
8,fog_s_000397.png,23,10,9,7
9,rogue_elephant_s_000421.png,31,11,8,4
10,computer_keyboard_s_000757.png,39,5,1,5
11,willow_tree_s_000645.png,96,17,5,7
12,sunflower_s_000549.png,82,2,8,6
13,palace_s_000759.png,17,9,2,2
14,adriatic_s_001782.png,71,10,3,1
15,computer_keyboard_s_001277.png,39,5,8,6
16,bike_s_000682.png,8,18,9,8
17,wolf_pup_s_001323.png,97,8,7,8
18,squirrel_s_002467.png,80,16,8,1
19,sea_s_000678.png,71,10,1,10
20,shrew_s_002233.png,74,16,5,7
21,pine_tree_s_000087.png,59,17,2,7
22,rose_s_000373.png,70,2,6,1
23,surveillance_system_s_000769.png,87,5,9,8
24,pine_s_001533.png,59,17,1,9
25,table_s_000897.png,84,6,9,5
26,opossum_s_001237.png,64,12,9,7
27,quercus_alba_s_000257.png,52,17,2,7
28,leopard_s_000414.png,42,8,2,9
29,possum_s_002195.png,64,12,4,8
30,bike_s_000127.png,8,18,1,8
31,balmoral_castle_s_000361.png,17,9,5,9
32,acer_saccharinum_s_000646.png,47,17,3,6
33,lapin_s_000916.png,65,16,2,7
34,chimp_s_001419.png,21,11,8,7
35,clock_s_002291.png,22,5,1,3
36,streetcar_s_000663.png,81,19,2,2
37,male_child_s_000800.png,11,14,6,1
38,oriental_cockroach_s_000650.png,24,7,3,3
39,breakfast_table_s_001135.png,84,6,5,10
40,coluber_constrictor_s_000067.png,78,15,8,4
41,lobster_s_000034.png,45,13,5,7
42,mount_s_002852.png,49,10,8,3
43,wolf_pup_s_001277.png,97,8,6,2
44,areca_s_000244.png,56,17,1,5
45,skyscraper_s_000180.png,76,9,5,2
46,boy_s_001150.png,11,14,8,2
47,train_s_001640.png,90,18,9,9
48,tractor_s_001723.png,89,19,5,6
49,snake_s_000046.png,78,15,2,5
50,shortfin_mako_s_000172.png,73,1,5,4
51,butterfly_s_001371.png,14,7,5,8
52,television_s_000158.png,87,5,2,2
53,beer_bottle_s_001063.png,9,3,1,9
54,adriatic_s_002075.png,71,10,5,3
55,honeybee_s_001911.png,6,7,6,7
56,red_maple_s_000275.png,47,17,2,2
57,reclining_chair_s_001157.png,20,6,7,7
58,black_woman_s_001310.png,98,14,3,4
59,silver_maple_s_001664.png,47,17,9,7
60,syrian_hamster_s_000340.png,36,16,2,6
61,otter_s_000259.png,55,0,3,3
62,seal_s_001773.png,72,0,2,2
63,panthera_leo_s_000068.png,43,8,5,7
64,morchella_esculenta_s_000159.png,51,4,10,1
65,female_child_s_000292.png,35,14,4,8
66,bell_pepper_s_001100.png,83,4,8,2
67,forest_s_001702.png,33,10,3,2
68,crocodile_s_002505.png,27,15,5,1
69,valencia_orange_s_000087.png,53,4,7,3
70,tulip_s_000253.png,92,2,1,5
71,mus_musculus_s_000005.png,50,16,3,4
72,arabian_camel_s_000259.png,15,11,3,3
73,tractor_s_000104.png,89,19,4,1
74,hamster_s_001554.png,36,16,2,4
75,caterpillar_s_001005.png,18,7,9,2
76,bulldozer_s_000433.png,89,19,1,9
77,man_s_000841.png,46,14,3,3
78,woods_s_000031.png,33,10,7,1
79,leopard_s_000033.png,42,8,9,6
80,keyboard_s_000092.png,39,5,5,3
81,possum_s_000413.png,64,12,10,1
82,skunk_s_000825.png,75,12,8,1
83,kangaroo_s_002457.png,38,11,6,1
84,cirrocumulus_s_001397.png,23,10,8,4
85,panthera_pardus_s_000593.png,42,8,1,10
86,raccoon_s_002740.png,66,12,9,8
87,garden_snail_s_000513.png,77,13,4,4
88,mount_s_000051.png,49,10,9,1
89,caterpillar_s_000450.png,18,7,6,10
90,man_s_000737.png,46,14,6,9
91,camel_s_000876.png,15,11,3,3
92,girl_s_001964.png,35,14,3,9
93,minuteman_s_000073.png,69,19,7,9
94,fin_whale_s_000110.png,95,0,7,9
95,sweet_pepper_s_000921.png,83,4,4,4
